sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
PHARMACEUTICALS,355.00,35.17,SHILPAMED,603.90,,603.85,639.00,44.87,84.40,29.05
AUTO ANCILLARIES,733.60,-,SHARDAMOTR,1169.30,,1161.45,1438.00,-,415.01,25.42
CABLES - TELEPHONE,44.00,13.44,SHILPI,203.60,,204.30,211.30,14.34,65.92,22.28
FINANCE - INVESTMENTS,171.50,-,SHARIABEES,188.50,,201.50,219.00,-,,-
TEXTILES - SPINNING - COTTON BLENDED,45.00,-,SHIVTEX,197.50,,200.70,209.75,-,,12.93
MEDIA & ENTERTAINMENT,221.10,-,SHEMAROO,317.45,,315.90,374.90,-,,41.34
AUTO ANCILLARIES,39.55,-,SHIVAMAUTO,48.10,,48.05,74.30,-,,25.42
MINING & MINERALS,46.30,-,SHIRPUR-G,157.75,,158.20,178.90,-,,12.32
FERTILISERS,61.60,-,SHREEPUSHK,151.30,,152.05,,-,,41.92
DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS,2.00,0.82,SHRENUJ,2.16,,2.15,38.50,1.29,47.38,25.22
PACKAGING,3.65,-,SHREERAMA,8.99,,8.70,10.90,-,,20.73
SHIPPING,133.85,11.82,SHREYAS,311.10,,310.05,529.00,17.49,108.71,9.31
FINANCE - LEASING & HIRE PURCHASE,1332.25,-,SHRIRAMCIT,2197.00,,2194.15,2348.95,-,705.09,30.29
PAPER,24.65,-,SHREYANIND,68.50,,67.15,74.90,-,,16.87
ENGINEERING - HEAVY,19.85,15.18,SHRIRAMEPC,24.75,,24.50,38.35,-,11.83,32.96
AUTO ANCILLARIES,10.00,-,SHRIPISTON,,,1283.55,2972.80,-,,-
MISCELLANEOUS,,-,SHRIASTER,,,1.50,5.00,-,,-
INFRASTRUCTURE - GENERAL,968.60,-,SIEMENS,1258.05,,1257.10,1396.40,-,143.71,39.97
TELECOMMUNICATIONS - EQUIPMENT,26.40,-,SHYAMTEL,30.40,,30.35,51.55,-,12.56,9.70
FINANCE - INVESTMENTS,16.00,-,SIGNET,34.90,,35.30,74.50,-,,23.47
CHEMICALS,19.75,-,SIL,27.80,,27.35,32.20,-,6.63,16.38
TRADING,117.00,14.25,SICAL,173.90,,173.45,191.75,49.12,82.13,45.95
CONSTRUCTION & CONTRACTING - CIVIL,185.00,6.16,SIMPLEXINF,332.20,,333.70,364.00,-,320.97,26.47
SUGAR,8.85,-,SIMBHALS,31.80,,31.25,61.45,-,,25.72
DIVERSIFIED,62.40,4.53,SINTEX,81.35,,81.20,106.86,6.70,99.33,16.44
MEDIA & ENTERTAINMENT,30.35,19.37,SITINET,35.45,,35.40,41.70,-,7.45,41.34
MISCELLANEOUS,4.15,-,SHYAMCENT,6.80,,6.50,10.25,-,,30.81
TEXTILES - SPINNING - COTTON BLENDED,64.05,-,SILINV,101.00,,101.00,114.80,-,197.12,30.29
CONSTRUCTION & CONTRACTING - CIVIL,20.40,-,SIMPLEX,25.50,,25.85,45.45,-,75.94,26.47
POWER - GENERATION & DISTRIBUTION,25.05,-,SJVN,29.00,,28.95,34.40,-,,12.82
BEARINGS,1057.55,-,SKFINDIA,1400.00,,1409.25,1472.40,-,,32.51
INFRASTRUCTURE - GENERAL,17.25,525.00,SKIL,,,26.25,46.30,-,85.50,26.47
TEXTILES - WEAVING,905.25,-,SIYSIL,1418.30,,1419.50,,-,,16.97
FOOD PROCESSING,8.70,-,SITASHREE,10.00,,9.85,16.95,-,21.73,60.29
COMPUTERS - HARDWARE,70.00,-,SMARTLINK,84.80,,86.40,111.70,-,177.23,25.22
FOOD PROCESSING,56.40,-,SKMEGGPROD,,,70.25,225.00,-,34.15,60.29
MISCELLANEOUS,121.95,-,SKIPPER,157.10,,157.00,219.90,-,,24.53
CHEMICALS,567.06,28.98,SOLARINDS,655.50,,656.00,759.45,34.52,95.87,51.86
CONSTRUCTION & CONTRACTING - REAL ESTATE,230.00,14.17,SOBHA,300.05,,299.55,348.75,20.41,261.20,26.47
STEEL - ROLLING,2.00,-,SMPL,2.43,,2.40,4.30,-,28.29,11.83
AUTO - LCVS & HCVS,638.80,-,SMLISUZU,1249.00,,1244.85,1452.80,-,,117.53
CERAMICS & GRANITE,320.00,-,SOMANYCERA,619.00,,615.55,659.80,-,101.03,39.35
TEXTILES - COMPOSITE MILLS,3.50,-,SOMATEX,10.36,,10.30,,-,,18.00
PHARMACEUTICALS,68.31,-,SMSPHARMA,104.50,,104.95,137.15,-,,29.05
RUBBER,31.90,-,SOMICONVEY,39.65,,39.90,54.95,-,,23.62
COMPUTERS - SOFTWARE MEDIUM & SMALL,125.65,10.23,SONATSOFTW,158.90,,158.75,186.00,10.63,44.79,18.27
BANKS - PRIVATE SECTOR,16.35,-,SOUTHBANK,23.85,,23.85,25.40,-,,22.60
LUBRICANTS,432.60,-,SOTL,710.00,,707.60,,-,,25.64
HOTELS,80.00,-,SPECIALITY,89.90,,88.45,164.50,-,,48.66
PHARMACEUTICALS,243.53,-,SPARC,329.00,,329.70,414.90,-,,23.62
TEXTILES - GENERAL,268.00,-,SPAL,350.70,,349.90,360.80,-,,-
AUTO ANCILLARIES,37.05,10.34,SONASTEER,71.15,,71.25,,37.06,17.48,49.82
TEXTILES - SPINNING - COTTON BLENDED,1.30,-,SPENTEX,7.66,,7.50,,-,-54.69,12.93
FINANCE - INVESTMENTS,,-,SPECTACLE,0.61,,,,-,-0.31,30.29
FERTILISERS,16.10,-,SPIC,21.20,,21.10,27.20,-,12.87,14.09
COMPUTERS - HARDWARE,11.90,-,SPICEMOBI,15.10,,15.05,35.40,-,13.24,9.70
TEXTILES - READYMADE APPARELS,15.20,-,SPLIL,29.20,,29.60,44.40,-,14.39,36.43
CONSTRUCTION & CONTRACTING - CIVIL,49.20,-,SPMLINFRA,68.00,,67.95,109.85,-,127.51,32.96
MEDIA & ENTERTAINMENT,38.00,-,SPHEREGSL,70.70,,70.05,84.95,-,,18.27
COMPUTERS - SOFTWARE,650.00,21.73,SQSBFSI,839.55,,839.25,1291.00,24.09,102.01,18.27
TEXTILES - MANMADE,1023.00,14.42,SRF,1865.65,,1866.90,,23.60,457.26,30.36
TEXTILES - MANMADE,1.00,-,SPYL,1.53,,1.50,2.55,-,,13.29
LEATHER PRODUCTS,105.00,-,SREEL,,,174.00,199.00,-,,29.94
CHEMICALS,46.00,-,SRHHYPOLTD,128.50,,127.70,131.40,-,,17.50
STEEL - PIG IRON,184.10,-,SRIPIPES,297.30,,300.20,356.45,-,,12.60
AUTO ANCILLARIES,282.40,-,SSWL,627.25,,627.80,,-,,24.77
COMPUTERS - SOFTWARE MEDIUM & SMALL,0.15,-,SRGINFOTEC,0.27,,0.35,0.40,-,,18.27
MEDIA & ENTERTAINMENT,6.00,3.18,SRSLTD,6.71,,6.65,27.05,4.69,24.08,25.22
PAPER,25.00,-,STARPAPER,101.75,,102.00,113.95,-,,16.87
FINANCE - INVESTMENTS,29.00,8.36,STAMPEDE,32.00,,31.90,46.65,10.13,6.17,30.29
FINANCE - LEASING & HIRE PURCHASE,736.95,25.97,SRTRANSFIN,1220.10,,1213.35,1324.40,-,448.49,30.29
TEXTILES - SPINNING - COTTON BLENDED,7.70,-,STINDIA,9.55,,9.00,26.95,-,,12.93
PHARMACEUTICALS,2.95,,STERLINBIO,4.00,,4.00,7.90,,,
TEXTILES - READYMADE APPARELS,28.00,-,STOREONE,165.60,,164.70,247.40,-,75.60,49.33
FASTENERS,327.50,-,STERTOOLS,805.00,,804.90,,-,,21.50
DYES & PIGMENTS,78.00,-,SUDARSCHEM,394.85,,393.95,455.35,-,45.35,26.09
POWER - TRANSMISSION & EQUIPMENT,7.25,0.64,SUJANATWR,9.32,,9.30,18.65,-,139.77,17.16
DOMESTIC APPLIANCES,1.00,0.27,SUJANAUNI,1.41,,1.45,2.35,-,47.28,49.94
FINANCE - INVESTMENTS,219.95,,SUMMITSEC,448.00,,444.10,,,,
AUTO ANCILLARIES,1755.45,-,SUNCLAYLTD,2600.00,,2623.95,2777.00,-,658.35,49.65
AUTO ANCILLARIES,73.00,-,SUBROS,131.20,,131.00,143.75,-,55.86,48.01
TEXTILES - GENERAL,,-,SUDAR,2.58,,2.55,8.95,-,,36.43
FINANCE - LEASING & HIRE PURCHASE,1118.60,,SUNDARMFIN,1356.85,,1350.70,1603.95,,,
PRINTING & STATIONERY,1.65,-,SUNDARAM,4.25,,4.30,5.40,-,3.79,19.41
STEEL - ROLLING,18.00,6.06,SUNFLAG,36.10,,36.25,37.40,11.72,27.72,11.83
FASTENERS,135.00,-,SUNDRMFAST,298.50,,299.70,329.00,-,44.26,49.07
AUTO ANCILLARIES,211.15,-,SUNDRMBRAK,515.90,,514.05,569.00,-,,49.65
MEDIA & ENTERTAINMENT,314.05,-,SUNTV,523.75,,523.90,,-,89.48,41.34
PHARMACEUTICALS,704.00,24.47,SUNPHARMA,764.30,,764.30,933.95,28.28,130.48,29.05
POWER - TRANSMISSION & EQUIPMENT,151.30,-,SUNILHITEC,288.25,,290.10,344.95,-,246.52,32.96
AUTO ANCILLARIES,120.00,30.45,SUPRAJIT,216.80,,217.90,238.00,36.62,34.08,48.01
PLASTICS,520.00,26.61,SUPREMEIND,924.00,,922.85,1025.00,34.88,103.54,37.15
CONSTRUCTION & CONTRACTING - REAL ESTATE,172.00,7.33,SUNTECK,257.00,,256.05,275.00,7.40,259.65,26.47
MISCELLANEOUS,15.00,-,SURANASOL,22.85,,22.85,39.75,-,,50.69
TEXTILES - SPINNING - COTTON BLENDED,2.95,-,SUPREMETEX,6.96,,7.10,13.05,-,,12.93
CONSTRUCTION & CONTRACTING - CIVIL,65.10,-,SUPREMEINF,94.80,,94.70,164.50,-,269.88,26.47
CABLES - TELEPHONE,4.00,-,SURANAT&P,5.35,,5.35,8.90,-,5.67,22.28
TEXTILES - SPINNING - COTTON BLENDED,6.25,-,SUPERSPIN,14.20,,14.60,15.20,-,9.20,12.93
PHARMACEUTICALS,144.30,-,SUVEN,199.85,,199.95,308.70,-,,29.05
TEXTILES - GENERAL,406.20,-,SUTLEJTEX,774.10,,772.60,,-,,23.40
POWER - GENERATION & DISTRIBUTION,12.80,-,SUZLON,14.98,,15.00,25.25,-,-17.63,25.50
PETROCHEMICALS,96.00,-,SUPPETRO,236.45,,237.60,,-,,23.47
TEXTILES - SPINNING - COTTON BLENDED,87.90,-,SURYALAXMI,136.60,,136.10,165.50,-,123.70,12.93
TEXTILES - SPINNING - COTTON BLENDED,6.25,-,SURYAJYOTI,5.70,,7.55,15.70,-,,12.93
PHARMACEUTICALS,5.65,-,SYNCOM,7.40,,7.40,15.45,-,48.66,29.05
TRADING,57.30,-,SWANENERGY,87.80,,87.90,,-,19.44,23.40
MISCELLANEOUS,322.20,-,SYNGENE,484.00,,485.10,523.90,-,,23.62
BANKS - PUBLIC SECTOR,49.40,-,SYNDIBANK,76.60,,76.70,97.80,-,169.41,16.46
CONSUMER GOODS - WHITE GOODS,912.73,-,SYMPHONY,1175.00,,1174.20,1314.90,-,45.55,49.94
HOTELS,64.10,-,TAJGVK,125.05,,126.20,158.40,-,,48.66
AUTO ANCILLARIES,81.95,8.41,TALBROAUTO,142.50,,142.85,162.10,16.69,106.30,49.07
PLASTICS,28.50,-,TAINWALCHM,46.00,,46.50,70.00,-,,11.47
COMPUTERS - SOFTWARE MEDIUM & SMALL,24.70,5.52,TANLA,35.75,,35.60,52.65,28.37,63.91,18.27
ENGINES,763.15,-,SWARAJENG,1332.85,,1333.35,,-,,30.15
PLANTATIONS - TEA & COFFEE,81.30,10.81,TATACOFFEE,125.65,,125.25,135.70,14.99,48.43,21.07
MISCELLANEOUS,181.00,8.06,TALWALKARS,279.60,,278.30,303.00,14.84,143.75,23.62
CHEMICALS,309.60,9.96,TATACHEM,536.40,,535.95,576.00,15.07,246.84,16.38
CONSTRUCTION & CONTRACTING - CIVIL,20.00,-,TARMAT,42.50,,42.80,50.50,-,,26.47
TELECOMMUNICATIONS - SERVICE,325.00,7.67,TATACOMM,575.65,,574.70,,-,-14.67,16.91
COMPUTERS - SOFTWARE,1368.00,34.53,TATAELXSI,1414.55,,1411.75,2403.00,43.18,91.02,18.27
CONSTRUCTION & CONTRACTING - CIVIL,14.30,-,TANTIACONS,16.85,,16.70,29.80,-,112.81,26.47
COMPUTERS - SOFTWARE MEDIUM & SMALL,121.50,12.70,TAKE,177.15,,177.50,209.80,21.16,47.48,18.27
POWER - TRANSMISSION & EQUIPMENT,4.50,-,TARAPUR,4.78,,4.90,9.10,-,,16.24
ELECTRIC EQUIPMENT,311.30,,SWELECTES,350.50,,350.60,518.00,,,
PLANTATIONS - TEA & COFFEE,100.00,17.70,TATAGLOBAL,141.95,,141.80,149.80,24.69,89.96,21.07
AUTO - LCVS & HCVS,265.80,6.78,TATAMOTORS,549.35,,549.95,598.40,17.74,237.83,117.53
STEEL - PIG IRON,77.60,6.39,TATAMETALI,413.35,,413.40,512.70,8.00,36.79,12.60
POWER - GENERATION & DISTRIBUTION,55.00,6.80,TATAPOWER,77.50,,77.45,80.35,29.81,54.60,12.82
FINANCE - INVESTMENTS,450.65,-,TATAINVEST,611.55,,612.05,690.00,-,419.62,30.29
STEEL - LARGE,211.15,-,TATASTEEL,390.10,,391.15,408.60,-,293.24,8.27
AUTO - LCVS & HCVS,210.10,4.31,TATAMTRDVR,349.40,,349.05,378.15,-,237.83,117.53
TRANSPORT & LOGISTICS,176.00,-,TCI,187.00,,186.15,388.00,-,89.86,30.37
