sector,week_52_low,pc,symbol,bse_price,pb,nse_price,week_52_high,pe,book_value,industry_pe
FINANCE - GENERAL,10.00,-,EBANK,,,1959.50,2060.00,-,,-
AUTO - LCVS & HCVS,14800.00,39.45,EICHERMOT,24859.75,,24918.35,,53.56,1273.74,116.96
COMPUTERS - SOFTWARE - TRAINING,10.10,-,EDUCOMP,11.61,,11.70,18.30,-,22.54,28.41
BREWERIES & DISTILLERIES,36.00,-,EDL,60.70,,60.25,115.45,-,198.68,41.41
ELECTRICALS,125.00,-,ECEIND,,,302.00,376.90,-,,51.12
ELECTRIC EQUIPMENT,27.55,-,EASUNREYRL,29.30,,29.60,58.90,-,40.07,51.12
SUGAR,129.50,16.21,EIDPARRY,242.40,,241.35,270.80,306.84,126.29,25.97
COMPUTERS - SOFTWARE MEDIUM & SMALL,1105.30,13.83,ECLERX,1476.00,,1483.30,1784.40,15.65,265.70,20.66
ENGINEERING - HEAVY,285.00,-,EIMCOELECO,379.00,,375.50,529.00,-,,25.82
HOTELS,95.65,-,EIHOTEL,107.15,,108.15,137.50,-,42.41,48.76
HOTELS,195.00,-,EIHAHOTELS,311.00,,323.35,379.00,-,37.39,48.76
PACKAGING,7.80,-,EKC,24.90,,25.10,32.35,-,30.60,20.87
ENGINEERING - HEAVY,42.55,6.10,ELECON,56.60,,56.60,92.85,17.69,51.58,25.82
TEXTILES - WEAVING,21.80,-,ELAND,25.70,,25.40,62.80,-,,17.15
CASTINGS & FORGINGS,16.50,-,ELECTCAST,20.80,,20.90,27.10,-,56.46,19.96
TYRES,22.55,-,ELGIRUBCO,15.10,,32.75,40.40,-,,6.32
ENGINEERING,32.10,-,ELECTHERM,152.50,,156.90,188.35,-,-1137.04,24.51
COMPRESSORS,118.20,25.69,ELGIEQUIP,186.00,,186.40,203.80,40.88,34.14,43.38
CONSTRUCTION & CONTRACTING - REAL ESTATE,30.10,-,EMAMIINFRA,57.80,,58.05,90.40,-,5.89,26.62
PACKAGING,31.75,-,EMMBI,117.25,,117.65,137.00,-,,37.67
POWER - GENERATION & DISTRIBUTION,24.60,-,ENERGYDEV,200.65,,200.25,221.50,-,31.45,12.97
ELECTRIC EQUIPMENT,21.70,-,EMCO,31.25,,31.10,37.35,-,60.31,16.39
FINANCE - GENERAL,46.00,10.70,EMKAY,63.00,,63.20,88.50,14.25,50.29,29.92
INFRASTRUCTURE - GENERAL,143.10,-,ENGINERSIN,239.85,,240.90,276.15,-,81.04,33.08
PERSONAL CARE,901.00,44.28,EMAMILTD,1146.00,,1167.30,1248.00,78.28,61.82,52.28
AUTO - TRACTORS,112.80,-,ESCORTS,365.35,,365.65,392.70,-,149.85,39.07
MEDIA & ENTERTAINMENT,125.75,8.42,EROSMEDIA,204.35,,204.20,546.70,8.71,158.48,39.93
FINANCE - GENERAL,110.00,-,EQUITAS,169.10,,169.65,206.25,-,,29.92
POWER - GENERATION & DISTRIBUTION,2.30,-,ENTEGRA,2.61,,2.90,4.20,-,8.73,12.97
MEDIA & ENTERTAINMENT,587.00,31.94,ENIL,851.30,,847.30,,44.71,161.30,39.93
ELECTRIC EQUIPMENT,33.55,,EON,55.40,,55.35,91.80,,,
